Ticker,Date,Forecast,Lower_95,Upper_95
BEL.NS,2025-06-09,391.09,377.32,405.36
BEL.NS,2025-06-10,391.94,377.06,407.41
BEL.NS,2025-06-11,392.79,377.34,408.87
BEL.NS,2025-06-12,393.64,377.89,410.05
BEL.NS,2025-06-13,394.49,378.57,411.08
DLF.NS,2025-06-09,881.35,823.25,943.55
DLF.NS,2025-06-10,882.64,840.96,926.39
DLF.NS,2025-06-11,883.88,847.49,921.83
DLF.NS,2025-06-12,885.12,850.14,921.54
DLF.NS,2025-06-13,886.36,851.7,922.43
IRFC.NS,2025-06-06,145.39,139.15,151.91
IRFC.NS,2025-06-09,145.5,139.21,152.08
IRFC.NS,2025-06-10,145.61,139.26,152.25
IRFC.NS,2025-06-11,145.73,139.33,152.43
IRFC.NS,2025-06-12,145.84,139.39,152.59
JIOFIN.NS,2025-06-09,294.76,283.22,306.77
JIOFIN.NS,2025-06-10,294.87,282.55,307.73
JIOFIN.NS,2025-06-11,294.98,282.21,308.33
JIOFIN.NS,2025-06-12,295.09,282.05,308.73
JIOFIN.NS,2025-06-13,295.2,282.0,309.02
JMFINANCIL.NS,2025-06-09,139.9,131.06,149.33
JMFINANCIL.NS,2025-06-10,140.06,131.21,149.51
JMFINANCIL.NS,2025-06-11,140.22,131.35,149.68
JMFINANCIL.NS,2025-06-12,140.39,131.51,149.87
JMFINANCIL.NS,2025-06-13,140.55,131.65,150.05
LTFOODS.NS,2025-06-09,472.79,446.88,500.2
LTFOODS.NS,2025-06-10,474.1,447.98,501.74
LTFOODS.NS,2025-06-11,475.41,449.12,503.23
LTFOODS.NS,2025-06-12,476.72,450.3,504.69
LTFOODS.NS,2025-06-13,478.03,451.5,506.12
PARADEEP.NS,2025-06-09,174.02,163.98,184.67
PARADEEP.NS,2025-06-10,174.35,164.31,185.0
PARADEEP.NS,2025-06-11,174.68,164.63,185.34
PARADEEP.NS,2025-06-12,175.02,164.97,185.68
PARADEEP.NS,2025-06-13,175.36,165.3,186.03
RPOWER.NS,2025-06-09,62.13,57.87,66.7
RPOWER.NS,2025-06-10,62.27,58.02,66.83
RPOWER.NS,2025-06-11,62.4,58.16,66.95
RPOWER.NS,2025-06-12,62.53,58.29,67.07
RPOWER.NS,2025-06-13,62.66,58.42,67.2
SAMHI.NS,2025-06-09,211.92,200.92,223.52
SAMHI.NS,2025-06-10,212.17,201.17,223.77
SAMHI.NS,2025-06-11,212.36,201.36,223.96
SAMHI.NS,2025-06-12,212.55,201.55,224.15
SAMHI.NS,2025-06-13,212.75,201.76,224.34
ZEEL.NS,2025-06-09,126.59,120.77,132.7
ZEEL.NS,2025-06-10,126.48,119.26,134.13
ZEEL.NS,2025-06-11,126.37,118.39,134.88
ZEEL.NS,2025-06-12,126.27,117.85,135.3
ZEEL.NS,2025-06-13,126.16,117.46,135.5
